,policy_tenure,area_cluster,length,steering_type,turning_radius,width,height,torque,is_claim
42,2,7,4300,0,5.2,1790,1635,0,0
43,3,2,3445,0,4.6,1515,1475,1,0
44,97,4,3655,0,4.7,1620,1675,2,0
45,95,9,3445,0,4.6,1515,1475,1,0
46,2,1,3445,0,4.6,1515,1475,1,0
47,65,3,3445,0,4.6,1515,1475,1,0
48,21,2,3995,1,4.8,1735,1515,3,0
49,16,6,3845,1,4.8,1735,1530,3,0
50,97,4,3845,1,4.8,1735,1530,3,0
51,37,0,3445,0,4.6,1515,1475,1,0
52,93,11,3845,1,4.8,1735,1530,3,0
53,90,11,3845,1,4.8,1735,1530,3,0
54,13,6,3990,1,4.85,1745,1500,3,0
55,2,4,4300,0,5.2,1790,1635,0,0
56,39,2,3445,0,4.6,1515,1475,1,0
57,14,2,3845,1,4.8,1735,1530,3,0
58,7,0,4300,0,5.2,1790,1635,0,0
59,87,4,3655,0,4.7,1620,1675,2,0
60,71,2,3445,0,4.6,1515,1475,1,0
61,0,6,4300,0,5.2,1790,1635,0,0
62,43,6,4300,0,5.2,1790,1635,0,0
63,98,4,3845,1,4.8,1735,1530,3,0
64,7,11,3445,0,4.6,1515,1475,1,0
65,87,4,3845,1,4.8,1735,1530,3,0
66,40,6,3845,1,4.8,1735,1530,3,0
67,97,5,3995,1,4.9,1695,1501,4,0
68,32,2,3445,0,4.6,1515,1475,1,0
69,68,4,4300,0,5.2,1790,1635,0,1
70,11,6,4300,0,5.2,1790,1635,0,0
71,41,2,3995,1,4.9,1695,1501,4,0
72,100,4,3990,1,5.0,1755,1523,4,0
73,45,8,3445,0,4.6,1515,1475,1,0
74,67,4,4300,0,5.2,1790,1635,0,0
75,0,6,4300,0,5.2,1790,1635,0,0
76,19,0,3445,0,4.6,1515,1475,1,0
77,91,11,4300,0,5.2,1790,1635,0,0
78,45,3,3445,0,4.6,1515,1475,1,0
79,2,0,3995,1,4.9,1695,1501,4,0
80,35,11,3655,0,4.7,1620,1675,2,0
81,19,13,3445,0,4.6,1515,1475,1,0
82,4,4,3845,1,4.8,1735,1530,3,0
83,8,2,4300,0,5.2,1790,1635,0,0
84,101,4,3655,0,4.7,1620,1675,2,0
85,83,1,3675,2,4.5,1475,1825,6,0
86,19,14,3445,0,4.6,1515,1475,1,0
87,1,10,3845,1,4.8,1735,1530,3,0
88,20,10,3845,1,4.8,1735,1530,3,0
89,30,6,4300,0,5.2,1790,1635,0,0
90,34,1,3445,0,4.6,1515,1475,1,0
91,86,4,3655,0,4.7,1620,1675,2,0
92,7,4,3655,0,4.7,1620,1675,2,0
93,10,6,3445,0,4.6,1515,1475,1,0
94,58,4,3845,1,4.8,1735,1530,3,0
95,97,4,3445,0,4.6,1515,1475,1,1
96,25,11,3845,1,4.8,1735,1530,3,0
97,33,2,3845,1,4.8,1735,1530,3,1
98,7,2,3845,1,4.8,1735,1530,3,0
99,85,11,3990,1,5.0,1755,1523,4,1
100,49,2,3445,0,4.6,1515,1475,1,0
101,25,2,3445,0,4.6,1515,1475,1,0
102,85,4,4300,0,5.2,1790,1635,0,0
103,34,4,3845,1,4.8,1735,1530,3,0
104,86,8,3990,1,4.85,1745,1500,3,0
105,103,4,3845,1,4.8,1735,1530,3,0
106,20,1,3445,0,4.6,1515,1475,1,0
107,6,4,3990,1,4.85,1745,1500,3,0
108,40,15,3445,0,4.6,1515,1475,1,0
109,78,4,4300,0,5.2,1790,1635,0,0
110,7,0,3845,1,4.8,1735,1530,3,0
111,96,10,3845,1,4.8,1735,1530,3,0
112,48,5,3445,0,4.6,1515,1475,1,0
113,94,11,3990,1,4.85,1745,1500,3,0
114,0,3,3445,0,4.6,1515,1475,1,1
115,94,10,3990,1,4.85,1745,1500,3,0
116,94,6,3995,1,4.8,1735,1515,3,0
117,52,4,3845,1,4.8,1735,1530,3,0
118,95,4,4300,0,5.2,1790,1635,0,0
119,85,8,3845,1,4.8,1735,1530,3,0
120,102,4,3990,1,4.85,1745,1500,3,0
121,95,1,4300,0,5.2,1790,1635,0,0
122,11,13,3445,0,4.6,1515,1475,1,0
123,45,4,3845,1,4.8,1735,1530,3,0
124,5,4,4300,0,5.2,1790,1635,0,0
125,93,11,3990,1,5.0,1755,1523,4,0
126,99,3,3445,0,4.6,1515,1475,1,1
127,103,6,3845,1,4.8,1735,1530,3,0
128,19,0,3445,0,4.6,1515,1475,1,0
129,68,7,3731,1,5.0,1579,1490,5,0
130,27,2,3845,1,4.8,1735,1530,3,0
131,22,4,3845,1,4.8,1735,1530,3,0
132,95,6,3731,1,5.0,1579,1490,5,0
133,42,2,3995,1,4.8,1735,1515,3,0
134,26,11,3445,0,4.6,1515,1475,1,0
135,22,16,3445,0,4.6,1515,1475,1,0
136,29,4,3655,0,4.7,1620,1675,2,0
137,37,11,3655,0,4.7,1620,1675,2,0
138,5,6,3445,0,4.6,1515,1475,1,0
139,27,6,3995,1,4.8,1735,1515,3,0
140,56,6,3990,1,5.0,1755,1523,4,1
141,11,5,3445,0,4.6,1515,1475,1,0
142,103,4,4300,0,5.2,1790,1635,0,0
143,7,9,3445,0,4.6,1515,1475,1,0
144,52,5,3445,0,4.6,1515,1475,1,0
145,98,15,3655,0,4.7,1620,1675,2,0
146,71,6,3845,1,4.8,1735,1530,3,0
147,1,0,3445,0,4.6,1515,1475,1,0
148,15,1,3990,1,4.85,1745,1500,3,0
149,79,13,4300,0,5.2,1790,1635,0,0
150,53,4,4300,0,5.2,1790,1635,0,0
151,86,0,3995,1,4.9,1695,1501,4,0
152,34,2,3993,0,5.1,1811,1606,7,0
153,6,0,3445,0,4.6,1515,1475,1,0
154,87,8,3655,0,4.7,1620,1675,2,0
155,32,2,3445,0,4.6,1515,1475,1,0
156,71,4,3845,1,4.8,1735,1530,3,0
157,0,2,3990,1,4.85,1745,1500,3,0
158,11,1,3445,0,4.6,1515,1475,1,0
159,22,4,3995,1,4.9,1695,1501,4,0
160,98,0,3995,1,4.9,1695,1501,4,0
161,26,2,3445,0,4.6,1515,1475,1,0
162,92,4,4300,0,5.2,1790,1635,0,0
163,44,0,3845,1,4.8,1735,1530,3,0
164,10,1,3445,0,4.6,1515,1475,1,1
165,81,1,3445,0,4.6,1515,1475,1,0
166,97,11,3995,1,4.8,1735,1515,3,0
167,103,8,3990,1,4.85,1745,1500,3,0
168,11,6,4300,0,5.2,1790,1635,0,0
169,18,10,3445,0,4.6,1515,1475,1,0
170,29,5,3655,0,4.7,1620,1675,2,0
171,97,5,3845,1,4.8,1735,1530,3,0
172,48,12,3995,1,4.9,1695,1501,4,0
173,17,1,3445,0,4.6,1515,1475,1,0
174,40,1,3445,0,4.6,1515,1475,1,0
175,79,3,3445,0,4.6,1515,1475,1,0
176,45,15,3445,0,4.6,1515,1475,1,0
177,53,3,3445,0,4.6,1515,1475,1,0
178,65,2,4300,0,5.2,1790,1635,0,0
179,43,3,3655,0,4.7,1620,1675,2,1
180,21,11,3845,1,4.8,1735,1530,3,1
181,15,0,3995,1,4.8,1735,1515,3,1
182,65,3,3445,0,4.6,1515,1475,1,0
183,24,4,3845,1,4.8,1735,1530,3,0
184,78,11,3845,1,4.8,1735,1530,3,0
185,101,0,3845,1,4.8,1735,1530,3,0
186,46,6,3990,1,5.0,1755,1523,4,0
187,29,0,3445,0,4.6,1515,1475,1,0
188,50,2,4300,0,5.2,1790,1635,0,0
189,72,6,3845,1,4.8,1735,1530,3,0
190,58,4,4300,0,5.2,1790,1635,0,0
191,98,10,4300,0,5.2,1790,1635,0,0
192,18,0,3845,1,4.8,1735,1530,3,1
193,91,3,3445,0,4.6,1515,1475,1,1
194,86,6,3845,1,4.8,1735,1530,3,0
195,88,6,4300,0,5.2,1790,1635,0,0
196,32,8,3675,2,4.5,1475,1825,6,0
197,87,4,3655,0,4.7,1620,1675,2,0
198,3,2,3655,0,4.7,1620,1675,2,0
199,101,4,3655,0,4.7,1620,1675,2,0
200,52,6,3655,0,4.7,1620,1675,2,0
201,63,4,3845,1,4.8,1735,1530,3,0
202,3,10,3655,0,4.7,1620,1675,2,0
203,4,14,3445,0,4.6,1515,1475,1,0
204,89,2,4300,0,5.2,1790,1635,0,0
205,89,6,3731,1,5.0,1579,1490,5,0
206,60,0,3445,0,4.6,1515,1475,1,0
207,102,10,4300,0,5.2,1790,1635,0,0
208,96,15,4300,0,5.2,1790,1635,0,0
209,87,8,3445,0,4.6,1515,1475,1,0
210,16,2,3445,0,4.6,1515,1475,1,1
211,76,6,3655,0,4.7,1620,1675,2,0
212,69,10,3845,1,4.8,1735,1530,3,0
213,8,6,3845,1,4.8,1735,1530,3,0
214,94,11,4300,0,5.2,1790,1635,0,0
215,79,3,3445,0,4.6,1515,1475,1,0
216,0,2,3445,0,4.6,1515,1475,1,0
217,86,9,3445,0,4.6,1515,1475,1,0
218,86,3,4300,0,5.2,1790,1635,0,0
219,23,13,3655,0,4.7,1620,1675,2,0
220,48,17,3445,0,4.6,1515,1475,1,0
221,104,10,3845,1,4.8,1735,1530,3,0
222,91,4,3845,1,4.8,1735,1530,3,0
223,73,4,4300,0,5.2,1790,1635,0,0
224,27,1,3445,0,4.6,1515,1475,1,0
225,61,6,4300,0,5.2,1790,1635,0,0
226,63,4,3845,1,4.8,1735,1530,3,0
227,36,4,4300,0,5.2,1790,1635,0,0
228,97,1,3845,1,4.8,1735,1530,3,0
229,53,18,3445,0,4.6,1515,1475,1,0
230,47,12,3655,0,4.7,1620,1675,2,0
231,103,4,3845,1,4.8,1735,1530,3,0
232,44,11,3845,1,4.8,1735,1530,3,0
233,3,9,3445,0,4.6,1515,1475,1,0
234,93,6,3995,1,4.9,1695,1501,4,0
235,95,11,3990,1,4.85,1745,1500,3,0
236,104,4,3731,1,5.0,1579,1490,5,0
237,44,4,3990,1,4.85,1745,1500,3,0
238,7,6,3990,1,5.0,1755,1523,4,0
239,1,4,4300,0,5.2,1790,1635,0,0
240,36,0,3445,0,4.6,1515,1475,1,0
241,32,1,3845,1,4.8,1735,1530,3,0
242,30,6,4300,0,5.2,1790,1635,0,0
243,6,10,3845,1,4.8,1735,1530,3,0
244,33,17,3445,0,4.6,1515,1475,1,0
245,7,1,3995,1,4.8,1735,1515,3,0
246,102,13,3845,1,4.8,1735,1530,3,0
247,48,2,3845,1,4.8,1735,1530,3,0
248,13,10,3731,1,5.0,1579,1490,5,0
249,7,15,3445,0,4.6,1515,1475,1,0
250,27,1,3445,0,4.6,1515,1475,1,0
251,10,4,4300,0,5.2,1790,1635,0,0
252,41,2,3655,0,4.7,1620,1675,2,0
253,31,0,4300,0,5.2,1790,1635,0,0
254,8,13,3731,1,5.0,1579,1490,5,0
255,17,9,3445,0,4.6,1515,1475,1,0
256,96,19,3845,1,4.8,1735,1530,3,0
257,38,2,3845,1,4.8,1735,1530,3,0
258,70,2,3445,0,4.6,1515,1475,1,0
259,90,7,4300,0,5.2,1790,1635,0,0
260,3,4,3845,1,4.8,1735,1530,3,0
261,100,4,3845,1,4.8,1735,1530,3,0
262,74,13,4300,0,5.2,1790,1635,0,0
263,7,13,3731,1,5.0,1579,1490,5,0
264,101,4,4300,0,5.2,1790,1635,0,0
265,86,4,3845,1,4.8,1735,1530,3,0
266,103,8,3990,1,4.85,1745,1500,3,0
267,53,1,3445,0,4.6,1515,1475,1,0
268,7,10,3845,1,4.8,1735,1530,3,0
269,13,6,3445,0,4.6,1515,1475,1,0
270,40,0,4300,0,5.2,1790,1635,0,0
271,11,4,3445,0,4.6,1515,1475,1,0
272,27,1,3445,0,4.6,1515,1475,1,0
273,49,4,3675,2,4.5,1475,1825,6,0
274,101,0,4300,0,5.2,1790,1635,0,0
275,91,6,4300,0,5.2,1790,1635,0,0
276,87,4,3655,0,4.7,1620,1675,2,0
277,57,2,3445,0,4.6,1515,1475,1,1
278,64,2,3445,0,4.6,1515,1475,1,0
279,21,6,3445,0,4.6,1515,1475,1,0
280,86,2,4300,0,5.2,1790,1635,0,1
281,19,1,3445,0,4.6,1515,1475,1,0
282,3,1,3445,0,4.6,1515,1475,1,0
283,2,4,3845,1,4.8,1735,1530,3,0
284,16,4,3845,1,4.8,1735,1530,3,0
285,18,3,3845,1,4.8,1735,1530,3,1
286,10,6,3731,1,5.0,1579,1490,5,0
287,11,3,3445,0,4.6,1515,1475,1,0
288,31,5,3445,0,4.6,1515,1475,1,0
289,103,4,3995,1,4.9,1695,1501,4,0
290,35,2,3655,0,4.7,1620,1675,2,0
291,42,4,4300,0,5.2,1790,1635,0,1
292,54,1,3445,0,4.6,1515,1475,1,0
293,88,2,3845,1,4.8,1735,1530,3,0
294,23,3,4300,0,5.2,1790,1635,0,0
295,49,1,4300,0,5.2,1790,1635,0,0
296,58,2,3845,1,4.8,1735,1530,3,1
297,35,6,3995,1,4.8,1735,1515,3,0
298,24,12,3845,1,4.8,1735,1530,3,0
299,35,2,3445,0,4.6,1515,1475,1,0
300,34,4,3845,1,4.8,1735,1530,3,0
301,28,11,3995,1,4.8,1735,1515,3,0
302,96,10,4300,0,5.2,1790,1635,0,0
303,69,17,3445,0,4.6,1515,1475,1,0
304,91,6,3655,0,4.7,1620,1675,2,0
305,89,6,3845,1,4.8,1735,1530,3,1
306,10,3,3675,2,4.5,1475,1825,6,0
307,39,15,3995,1,4.9,1695,1501,4,0
308,46,1,3655,0,4.7,1620,1675,2,0
309,6,1,3990,1,4.85,1745,1500,3,0
310,98,4,4300,0,5.2,1790,1635,0,0
311,96,4,3845,1,4.8,1735,1530,3,0
312,40,2,3655,0,4.7,1620,1675,2,0
313,19,1,3445,0,4.6,1515,1475,1,0
314,94,1,3845,1,4.8,1735,1530,3,0
315,63,6,3731,1,5.0,1579,1490,5,0
316,86,19,3845,1,4.8,1735,1530,3,0
317,3,3,3445,0,4.6,1515,1475,1,0
318,34,18,3445,0,4.6,1515,1475,1,1
319,90,4,3995,1,4.9,1695,1501,4,0
320,75,2,4300,0,5.2,1790,1635,0,0
321,20,4,3845,1,4.8,1735,1530,3,0
322,6,10,3845,1,4.8,1735,1530,3,0
323,92,4,3845,1,4.8,1735,1530,3,0
324,24,10,4300,0,5.2,1790,1635,0,0
325,63,13,4300,0,5.2,1790,1635,0,0
326,45,1,3445,0,4.6,1515,1475,1,0
327,92,6,3995,1,4.9,1695,1501,4,0
328,16,4,3845,1,4.8,1735,1530,3,0
329,93,6,3845,1,4.8,1735,1530,3,0
330,50,6,3995,1,4.9,1695,1501,4,0
331,31,6,3845,1,4.8,1735,1530,3,0
332,7,11,3990,1,4.85,1745,1500,3,0
333,51,3,4300,0,5.2,1790,1635,0,1
334,100,4,4300,0,5.2,1790,1635,0,1
335,39,2,4300,0,5.2,1790,1635,0,0
336,84,2,3845,1,4.8,1735,1530,3,0
337,12,12,3990,1,4.85,1745,1500,3,0
338,46,2,3445,0,4.6,1515,1475,1,0
339,41,4,4300,0,5.2,1790,1635,0,0
340,25,4,3990,1,4.85,1745,1500,3,0
341,73,4,3845,1,4.8,1735,1530,3,0
342,89,4,3845,1,4.8,1735,1530,3,0
343,88,4,3845,1,4.8,1735,1530,3,0
344,2,6,3655,0,4.7,1620,1675,2,0
345,69,1,3445,0,4.6,1515,1475,1,0
346,87,4,3845,1,4.8,1735,1530,3,0
347,71,4,3445,0,4.6,1515,1475,1,0
348,17,3,3445,0,4.6,1515,1475,1,0
349,87,20,3995,1,4.9,1695,1501,4,0
350,100,4,3845,1,4.8,1735,1530,3,0
351,52,1,4300,0,5.2,1790,1635,0,0
352,8,3,3445,0,4.6,1515,1475,1,0
353,46,1,3445,0,4.6,1515,1475,1,0
354,88,11,4300,0,5.2,1790,1635,0,0
355,95,19,4300,0,5.2,1790,1635,0,0
356,51,1,3445,0,4.6,1515,1475,1,0
357,19,2,3445,0,4.6,1515,1475,1,0
358,39,4,3445,0,4.6,1515,1475,1,0
359,104,4,3995,1,4.9,1695,1501,4,0
360,8,4,4300,0,5.2,1790,1635,0,0
361,55,1,3445,0,4.6,1515,1475,1,0
362,84,4,3845,1,4.8,1735,1530,3,0
363,99,4,3990,1,5.0,1755,1523,4,0
364,94,19,3675,2,4.5,1475,1825,6,0
365,6,10,3731,1,5.0,1579,1490,5,0
366,79,4,3445,0,4.6,1515,1475,1,0
367,50,7,3445,0,4.6,1515,1475,1,1
368,104,4,3845,1,4.8,1735,1530,3,0
369,99,12,3731,1,5.0,1579,1490,5,0
370,56,10,3445,0,4.6,1515,1475,1,0
371,4,6,3445,0,4.6,1515,1475,1,0
372,7,5,3995,1,4.8,1735,1515,3,0
373,33,1,3445,0,4.6,1515,1475,1,0
374,7,6,3845,1,4.8,1735,1530,3,0
375,7,6,3655,0,4.7,1620,1675,2,0
376,8,7,3445,0,4.6,1515,1475,1,0
377,2,3,3445,0,4.6,1515,1475,1,0
378,85,6,4300,0,5.2,1790,1635,0,0
379,77,2,3445,0,4.6,1515,1475,1,0
380,89,13,3845,1,4.8,1735,1530,3,0
381,80,1,3445,0,4.6,1515,1475,1,0
382,58,0,3445,0,4.6,1515,1475,1,0
383,64,20,3845,1,4.8,1735,1530,3,0
384,91,6,3845,1,4.8,1735,1530,3,0
385,28,11,3845,1,4.8,1735,1530,3,0
386,87,8,3845,1,4.8,1735,1530,3,0
387,93,3,3845,1,4.8,1735,1530,3,0
388,23,4,4300,0,5.2,1790,1635,0,0
389,7,5,3845,1,4.8,1735,1530,3,0
390,9,6,3445,0,4.6,1515,1475,1,0
391,87,11,3731,1,5.0,1579,1490,5,0
392,3,0,3445,0,4.6,1515,1475,1,0
393,51,6,3445,0,4.6,1515,1475,1,0
394,0,6,3655,0,4.7,1620,1675,2,0
395,83,18,3445,0,4.6,1515,1475,1,0
396,36,2,3445,0,4.6,1515,1475,1,0
397,65,4,4300,0,5.2,1790,1635,0,0
398,0,8,3995,1,4.9,1695,1501,4,0
399,92,4,3845,1,4.8,1735,1530,3,0
400,63,6,3445,0,4.6,1515,1475,1,0
401,19,11,3845,1,4.8,1735,1530,3,0
402,47,4,3845,1,4.8,1735,1530,3,0
403,27,2,3445,0,4.6,1515,1475,1,0
404,93,4,3995,1,4.8,1735,1515,3,0
405,51,19,3445,0,4.6,1515,1475,1,0
406,70,4,3845,1,4.8,1735,1530,3,0
407,79,4,3845,1,4.8,1735,1530,3,0
408,77,6,3445,0,4.6,1515,1475,1,0
409,14,4,3655,0,4.7,1620,1675,2,0
410,86,5,3445,0,4.6,1515,1475,1,0
411,100,6,3995,1,4.9,1695,1501,4,0
412,5,6,3445,0,4.6,1515,1475,1,0
413,54,2,4300,0,5.2,1790,1635,0,0
414,10,5,3445,0,4.6,1515,1475,1,0
415,48,15,3845,1,4.8,1735,1530,3,0
416,63,1,3995,1,4.9,1695,1501,4,0
417,100,19,3845,1,4.8,1735,1530,3,0
418,38,6,3445,0,4.6,1515,1475,1,0
419,99,6,3990,1,4.85,1745,1500,3,0
420,6,10,3675,2,4.5,1475,1825,6,0
421,49,2,3990,1,4.85,1745,1500,3,0
422,18,6,3445,0,4.6,1515,1475,1,0
423,10,1,3445,0,4.6,1515,1475,1,0
424,84,4,3845,1,4.8,1735,1530,3,0
425,51,10,3995,1,4.8,1735,1515,3,0
426,22,6,3731,1,5.0,1579,1490,5,0
427,5,10,3845,1,4.8,1735,1530,3,0
428,78,9,3845,1,4.8,1735,1530,3,0
429,52,2,3445,0,4.6,1515,1475,1,0
430,94,4,3845,1,4.8,1735,1530,3,0
431,85,4,3995,1,4.9,1695,1501,4,0
432,24,20,3655,0,4.7,1620,1675,2,0
433,3,14,3445,0,4.6,1515,1475,1,0
434,23,1,3445,0,4.6,1515,1475,1,0
435,100,11,3845,1,4.8,1735,1530,3,0
436,60,12,3845,1,4.8,1735,1530,3,0
437,84,4,3990,1,5.0,1755,1523,4,0
438,58,1,3990,1,4.85,1745,1500,3,0
439,90,4,3731,1,5.0,1579,1490,5,0
440,96,6,4300,0,5.2,1790,1635,0,0
441,7,15,3675,2,4.5,1475,1825,6,0
442,0,5,3445,0,4.6,1515,1475,1,0
443,89,4,3845,1,4.8,1735,1530,3,0
444,85,10,3990,1,4.85,1745,1500,3,0
445,15,17,4300,0,5.2,1790,1635,0,0
446,91,6,3990,1,4.85,1745,1500,3,0
447,5,4,3655,0,4.7,1620,1675,2,0
448,1,0,3445,0,4.6,1515,1475,1,0
449,86,11,4300,0,5.2,1790,1635,0,0
450,11,2,3445,0,4.6,1515,1475,1,0
451,36,13,3731,1,5.0,1579,1490,5,0
452,97,18,3845,1,4.8,1735,1530,3,0
453,3,0,3445,0,4.6,1515,1475,1,0
454,91,4,3845,1,4.8,1735,1530,3,0
455,28,6,4300,0,5.2,1790,1635,0,0
456,36,2,3445,0,4.6,1515,1475,1,0
457,68,6,3845,1,4.8,1735,1530,3,0
458,46,1,3445,0,4.6,1515,1475,1,0
459,45,21,3445,0,4.6,1515,1475,1,0
460,7,2,3845,1,4.8,1735,1530,3,0
461,61,10,3655,0,4.7,1620,1675,2,0
462,30,1,3995,1,4.9,1695,1501,4,0
463,0,1,4300,0,5.2,1790,1635,0,0
464,62,10,3445,0,4.6,1515,1475,1,0
465,35,10,3445,0,4.6,1515,1475,1,0
466,102,6,3845,1,4.8,1735,1530,3,0
467,73,1,3445,0,4.6,1515,1475,1,0
468,23,6,4300,0,5.2,1790,1635,0,0
469,104,4,3845,1,4.8,1735,1530,3,0
470,85,4,3845,1,4.8,1735,1530,3,0
471,7,2,3655,0,4.7,1620,1675,2,0
472,63,1,3445,0,4.6,1515,1475,1,0
473,56,6,4300,0,5.2,1790,1635,0,0
474,84,6,3990,1,4.85,1745,1500,3,0
475,44,2,4300,0,5.2,1790,1635,0,0
476,85,6,4300,0,5.2,1790,1635,0,0
477,11,1,4300,0,5.2,1790,1635,0,0
478,77,3,3445,0,4.6,1515,1475,1,0
479,85,4,3990,1,5.0,1755,1523,4,0
480,33,1,3445,0,4.6,1515,1475,1,0
481,66,0,3845,1,4.8,1735,1530,3,0
482,59,0,3445,0,4.6,1515,1475,1,0
483,90,6,3655,0,4.7,1620,1675,2,0
484,69,15,3845,1,4.8,1735,1530,3,0
485,67,4,4300,0,5.2,1790,1635,0,0
486,39,0,3445,0,4.6,1515,1475,1,0
487,7,4,3845,1,4.8,1735,1530,3,0
488,10,13,3445,0,4.6,1515,1475,1,0
489,80,6,3731,1,5.0,1579,1490,5,0
490,20,4,4300,0,5.2,1790,1635,0,0
491,34,4,3845,1,4.8,1735,1530,3,0
492,95,2,3655,0,4.7,1620,1675,2,0
493,19,6,3995,1,4.9,1695,1501,4,0
494,2,4,3445,0,4.6,1515,1475,1,0
495,11,1,4300,0,5.2,1790,1635,0,0
496,7,10,3845,1,4.8,1735,1530,3,0
497,73,1,3655,0,4.7,1620,1675,2,0
498,8,4,3990,1,4.85,1745,1500,3,0
499,10,18,4300,0,5.2,1790,1635,0,0
500,14,6,3845,1,4.8,1735,1530,3,1
501,85,4,3845,1,4.8,1735,1530,3,0
502,11,17,3445,0,4.6,1515,1475,1,0
503,100,7,3845,1,4.8,1735,1530,3,0
504,9,2,3845,1,4.8,1735,1530,3,0
505,71,2,3445,0,4.6,1515,1475,1,1
506,84,5,3655,0,4.7,1620,1675,2,0
507,49,4,4300,0,5.2,1790,1635,0,0
508,22,1,3990,1,4.85,1745,1500,3,0
509,88,2,3845,1,4.8,1735,1530,3,0
510,98,4,3845,1,4.8,1735,1530,3,0
511,46,5,3445,0,4.6,1515,1475,1,0
512,18,2,3731,1,5.0,1579,1490,5,0
513,22,2,4300,0,5.2,1790,1635,0,0
514,21,1,3655,0,4.7,1620,1675,2,0
515,83,11,4300,0,5.2,1790,1635,0,0
516,6,3,3845,1,4.8,1735,1530,3,0
517,87,4,3845,1,4.8,1735,1530,3,0
518,3,2,3731,1,5.0,1579,1490,5,0
519,6,1,4300,0,5.2,1790,1635,0,0
520,95,1,4300,0,5.2,1790,1635,0,0
521,100,4,4300,0,5.2,1790,1635,0,0
522,94,1,4300,0,5.2,1790,1635,0,0
523,69,0,3990,1,5.0,1755,1523,4,0
524,39,3,4300,0,5.2,1790,1635,0,0
525,17,6,3675,2,4.5,1475,1825,6,0
526,89,4,4300,0,5.2,1790,1635,0,0
527,14,4,3655,0,4.7,1620,1675,2,0
528,100,8,3845,1,4.8,1735,1530,3,0
529,86,0,3845,1,4.8,1735,1530,3,0
530,14,13,3845,1,4.8,1735,1530,3,0
531,79,13,3675,2,4.5,1475,1825,6,0
532,2,0,3845,1,4.8,1735,1530,3,0
533,92,11,3845,1,4.8,1735,1530,3,0
534,33,10,3845,1,4.8,1735,1530,3,0
535,23,4,3990,1,4.85,1745,1500,3,0
536,4,1,3445,0,4.6,1515,1475,1,0
537,35,13,3445,0,4.6,1515,1475,1,0
538,90,1,3445,0,4.6,1515,1475,1,0
539,93,3,3445,0,4.6,1515,1475,1,0
540,85,1,4300,0,5.2,1790,1635,0,0
541,24,0,3445,0,4.6,1515,1475,1,0
542,32,0,3445,0,4.6,1515,1475,1,0
543,28,1,3445,0,4.6,1515,1475,1,1
544,95,6,3990,1,5.0,1755,1523,4,0
545,96,0,3995,1,4.9,1695,1501,4,0
546,49,4,3655,0,4.7,1620,1675,2,0
547,63,3,3655,0,4.7,1620,1675,2,0
548,90,4,3655,0,4.7,1620,1675,2,0
549,74,6,4300,0,5.2,1790,1635,0,0
550,103,4,3995,1,4.8,1735,1515,3,0
551,104,11,3845,1,4.8,1735,1530,3,0
552,2,1,3445,0,4.6,1515,1475,1,0
553,33,4,4300,0,5.2,1790,1635,0,0
554,22,13,3845,1,4.8,1735,1530,3,0
555,8,18,3655,0,4.7,1620,1675,2,0
